"geographic_area", "population_size"
"Otero County, Colorado","18,664"
"Ouray County, Colorado","4,882"
"Park County, Colorado","17,420"
"Phillips County, Colorado","4,531"
"Pitkin County, Colorado","17,365"
"Prowers County, Colorado","12,020"
"Pueblo County, Colorado","168,352"
"Rio Blanco County, Colorado","6,521"
"Rio Grande County, Colorado","11,543"
"Routt County, Colorado","24,840"
"Saguache County, Colorado","6,395"
"San Juan County, Colorado",708
"San Miguel County, Colorado","8,054"
"Sedgwick County, Colorado","2,389"
"Summit County, Colorado","31,239"
"Teller County, Colorado","24,745"
"Washington County, Colorado","4,814"
"Weld County, Colorado","331,467"
"Yuma County, Colorado","9,970"
"Capitol Planning Region, Connecticut","964,088"
"Greater Bridgeport Planning Region, Connecticut","324,397"
"Lower Connecticut River Valley Planning Region, Connecticut","173,281"
"Naugatuck Valley Planning Region, Connecticut","449,055"
"Northeastern Connecticut Planning Region, Connecticut","95,231"
"Northwest Hills Planning Region, Connecticut","112,199"
"South Central Connecticut Planning Region, Connecticut","564,526"
"Southeastern Connecticut Planning Region, Connecticut","278,379"
"Western Connecticut Planning Region, Connecticut","618,762"
"Kent County, Delaware","182,317"
"New Castle County, Delaware","570,957"
"Sussex County, Delaware","238,654"
"District of Columbia, District of Columbia","670,917"
"Alachua County, Florida","279,765"
"Baker County, Florida","28,122"
"Bay County, Florida","174,543"
"Bradford County, Florida","28,229"
"Brevard County, Florida","608,792"
"Broward County, Florida","1,943,497"
"Calhoun County, Florida","13,704"
"Charlotte County, Florida","188,017"
"Citrus County, Florida","154,569"
"Clay County, Florida","218,956"
"Collier County, Florida","377,331"
"Columbia County, Florida","69,760"
"DeSoto County, Florida","34,089"
"Dixie County, Florida","16,685"
"Duval County, Florida","997,826"
"Escambia County, Florida","322,612"
"Flagler County, Florida","116,032"
"Franklin County, Florida","12,474"
"Gadsden County, Florida","43,408"
"Gilchrist County, Florida","17,885"
"Glades County, Florida","12,079"
"Gulf County, Florida","14,259"
"Hamilton County, Florida","13,736"
"Hardee County, Florida","25,341"
"Hendry County, Florida","39,723"
"Hernando County, Florida","195,629"
"Highlands County, Florida","101,340"
"Hillsborough County, Florida","1,466,320"
"Holmes County, Florida","19,569"
"Indian River County, Florida","160,452"
"Jackson County, Florida","47,106"
"Jefferson County, Florida","14,402"
"Lafayette County, Florida","8,230"
"Lake County, Florida","386,238"
"Lee County, Florida","765,566"
"Leon County, Florida","293,961"
"Levy County, Florida","43,065"
"Liberty County, Florida","7,806"
"Madison County, Florida","17,838"
"Manatee County, Florida","401,644"
"Marion County, Florida","377,464"
"Martin County, Florida","158,669"
